Processor Pool Total:  820154608 Used:  353748464 Free:  466406144

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
   0   0  359507752   19462856  325828464          0          0 *Init*          
 345   0   10156072    8172944    2012640          0          0 NTP Auxiliary Pr
   0   0    2449560     715848    1637288    1538139          0 *Dead*          
 336   0    1635088      30208    1630744          0          0 EEM Server      
 287   0    2771288    1623480    1148960          0          0 Crypto CA       
 178   0     931416      27208     953816          0          0 CEF: IPv4 proces
  80   0     805904        472     855440          0          0 IP ARP Adjacency
   3   0     678512       5840     606784          0          0 OSPF-100 Router 
  86   0     990912     423824     567088          0          0 mDNS            
 317   0     527936       9792     555768     100548          0 EEM ED Syslog   
 275   0     462856        896     495824          0          0 EST Client      
 318   0     412680       9464     441080      67468          0 EEM ED Generic  
 299   0     359848        144     409568          0          0 Crypto IKEv2    
   0   0          0          0     395328          0          0 *MallocLite*    
  89   0    1144560     785864     355592          0          0 Exec            
 143   0     153728          0     251592          0          0 st_pw_oam       
 185   0       1824          0     243688          0          0 COPS            
   1   0     196896          0     222760          0          0 Chunk Manager   
 370   0     167672        448     217088          0          0 MRIB Process    
 237   0     139600          0     165464          0          0 L2FIB Event Disp
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 173   0     123808       1216     160456          0          0 IP Connected Rou
 254   0     100816        448     150232          0          0 OAM DPM         
 137   0      98736          0     148600          0          0 IPAM Manager    
 199   0      85168       4816     131744          0          0 DHCP Client     
 278   0     102224          0     128088          0          0 MMA DB TIMER    
 155   0     100560          0     126424          0          0 radius radsec cl
  64   0      98736          0     124600          0          0 ACCT Periodic Pr
 282   0      99184        448     124600          0          0 Timer Library   
 195   0      24304          0     122168          0          0 HTTP CORE       
 355   0          0          0     107960          0          0 PnP-Monitor     
 277   0      45360        192     105168          0          0 PDM core        
  57   0      76688      10072     104280          0          0 EEM ED MAT      
 274   0      68960       1016     101808          0          0 Crypto WUI      
 224   0       2592        448     100008          0          0 Ethernet CFM    
 257   0        448        448      97864          0          0 SR Policy Mgr   
 260   0        448        448      97864          0          0 TLSCLIENT_PROCES
 307   0          0          0      97864          0          0 Crypto ACL      
 144   0          0          0      97864          0          0 SR SID Mgr      
  45   0     191104        576      97416          0          0 Net Background  
   6   0    2612880    2612880      94624    2496258    2496258 Pool Manager    
 251   0      67920          0      93784          0          0 DHCP SIP        
  82   0      66064          0      91928          0          0 IP GARP Retry Ag
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
  81   0      66064          0      91928          0          0 IP ARP Retry Age
 304   0      41376        448      90792          0          0 Crypto IKMP     
 255   0      40480        448      89896          0          0 OAM DPM BG TASK 
 223   0      56024        448      81440          0          0 HTTP Process    
 363   0      31144        448      80560          0          0 RBM CORE        
 262   0      49224       5944      71664          0          0 Diameter Base pr
 171   0      19768          0      69488          0          0 IP RIB Update   
 353   0      40768       9464      69168          0          0 EEM ED CRASH    
 217   0      38912        448      64328          0          0 SCTP Main Proces
  75   0      36976          0      62840          0          0 VRRS Main thread
 337   0      51000       1840      61160          0          0 EEM Policy Direc
 375   0      37168       2664      60368          0          0 OSPF-100 Hello  
  11   0      45840      12976      58728          0          0 ARP Input       
 338   0     747864     712280      58616          0          0 NTP             
   2   0      43648        448      57064          0          0 Load Meter      
 350   0      28128       9464      56528          0          0 EEM ED Nf       
  65   0     309280     234144      54776          0          0 CDP Protocol    
 124   0      29664       1096      54432          0          0 MKA             
 209   0     200424     197184      53104          0          0 OTV Event Dispat
 120   0       3480        200      53016          0          0 L2RIB Thread    
 306   0       9424       6064      52576          0          0 IPSEC key engine
 352   0      24136       9464      52536          0          0 EEM ED DS       
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
  51   0       2232          0      52096          0          0 CTS CORE        
 125   0       2464        448      51880          0          0 DAPR ER process 
  52   0       2464       2312      51880          0          0 SXP CORE        
 273   0       2432        448      51848          0          0 TPLUS           
 290   0       1824          0      51688          0          0 PKI OCSP        
 267   0       2272        448      51688          0          0 LDAP process    
 316   0      30248       5768      50416          0          0 DCM Core Thread 
 293   0        896        448      50312          0          0 MMON PROCESS    
 252   0        424          0      50288          0          0 FRR Manager     
  68   0        408          0      50272          0          0 CEF switching ba
 180   0        408          0      50272          0          0 Collection proce
 179   0        408          0      50272          0          0 ADJ background  
 181   0        720        312      50272          0          0 ADJ resolve proc
 167   0        408        296      50272          0          0 CEF background p
 198   0        408          0      50272          0          0 MFIB Master back
 168   0        408          0      50272          0          0 fib_fib_bfd_sb e
  66   0          0          0      49944          0          0 PKI Trustpool   
  77   0        448        448      49864          0          0 ATM OAM TIMER   
